# List generated with
# for i in `seq 50000 100000`; do listURL="https://www.netflix.com/browse/genre/$i"; genre=$(wget --no-check-certificate -q -O - "$listURL" |head | tr '{' '\n'| grep '"@type":"ItemList","name":' | tr ':' '\n'  | tr ',' '\n' | awk '/name/{getline; print}'); if [ "$genre" != "" ]; then  echo $i $listURL $genre; fi; done  >> codes_one_by_one.txt &
46553 https://www.netflix.com/browse/genre/46553 "Classic TV Shows"
46576 https://www.netflix.com/browse/genre/46576 "Classic Action & Adventure Films"
47147 https://www.netflix.com/browse/genre/47147 "Watch Classic Sci-Fi & Fantasy Movies"
48768 https://www.netflix.com/browse/genre/48768 "Nature & Ecology Documentaries"
49266 https://www.netflix.com/browse/genre/49266 "Competition Reality TV"
49944 https://www.netflix.com/browse/genre/49944 "Car & Motorsport Movies"
51056 https://www.netflix.com/browse/genre/51056 "Family Movies"
52117 https://www.netflix.com/browse/genre/52117 "British TV Shows"
52852 https://www.netflix.com/browse/genre/52852 "Music & Musicals"
52855 https://www.netflix.com/browse/genre/52855 "Watch Family Adventure Movies"
58806 https://www.netflix.com/browse/genre/58806 "Hindi-Language Movies"
60238 https://www.netflix.com/browse/genre/60238 "Movies starring Ryan Gosling"
60951 https://www.netflix.com/browse/genre/60951 "TV for Teens"
64256 https://www.netflix.com/browse/genre/64256 "Japanese TV Shows"
67879 https://www.netflix.com/browse/genre/67879 "Korean TV Shows"
69410 https://www.netflix.com/browse/genre/69410 "Movies starring Kevin Hart"
70023 https://www.netflix.com/browse/genre/70023 "WWII Movies"
70905 https://www.netflix.com/browse/genre/70905 "WWII Documentaries"
75421 https://www.netflix.com/browse/genre/75421 "Zombie Movies"
75480 https://www.netflix.com/browse/genre/75480 "Irreverent TV Comedies"
76778 https://www.netflix.com/browse/genre/76778 "Zombie TV Shows"
76793 https://www.netflix.com/browse/genre/76793 "Swedish TV Shows"
76802 https://www.netflix.com/browse/genre/76802 "Scandinavian TV Shows"
78367 https://www.netflix.com/browse/genre/78367 "International Movies"
81050 https://www.netflix.com/browse/genre/81050 "Watch True Crime Documentaries"
83059 https://www.netflix.com/browse/genre/83059 "TV Horror"
83193 https://www.netflix.com/browse/genre/83193 "Critically Acclaimed TV Shows"
89585 https://www.netflix.com/browse/genre/89585 "Watch Horror Comedies"
89811 https://www.netflix.com/browse/genre/89811 "Thriller TV Shows"
89814 https://www.netflix.com/browse/genre/89814 "Award-Winning TV Shows"
89844 https://www.netflix.com/browse/genre/89844 "Award-Winning Movies"
90139 https://www.netflix.com/browse/genre/90139 "Hollywood Blockbuster Movies"
90911 https://www.netflix.com/browse/genre/90911 "Emmy-Winning TV Shows"
100010 https://www.netflix.com/browse/genre/100010 "Gay & Lesbian Movies & TV"
100369 https://www.netflix.com/browse/genre/100369 "African Movies & TV"
100370 https://www.netflix.com/browse/genre/100370 "Argentinian Movies & TV"
100371 https://www.netflix.com/browse/genre/100371 "Australian Movies & TV"
100372 https://www.netflix.com/browse/genre/100372 "Belgian Movies & TV"
100373 https://www.netflix.com/browse/genre/100373 "Brazilian Movies & TV"
100375 https://www.netflix.com/browse/genre/100375 "Chinese Movies & TV"
100376 https://www.netflix.com/browse/genre/100376 "Czech Republic Movies & TV"
100377 https://www.netflix.com/browse/genre/100377 "Eastern European Movies & TV"
100378 https://www.netflix.com/browse/genre/100378 "French Movies & TV Shows"
100379 https://www.netflix.com/browse/genre/100379 "German Movies & TV Shows"
100381 https://www.netflix.com/browse/genre/100381 "Indian Movies & TV"
100383 https://www.netflix.com/browse/genre/100383 "Israeli Movies & TV"
100384 https://www.netflix.com/browse/genre/100384 "Italian Movies & TV Shows"
100385 https://www.netflix.com/browse/genre/100385 "Japanese Movies & TV"
100386 https://www.netflix.com/browse/genre/100386 "Watch Korean Movies and Shows"
100387 https://www.netflix.com/browse/genre/100387 "Latin American Movies & TV"
100388 https://www.netflix.com/browse/genre/100388 "Mexican Movies & TV"
100389 https://www.netflix.com/browse/genre/100389 "Middle Eastern Movies & TV"
100390 https://www.netflix.com/browse/genre/100390 "Dutch Movies & TV"
100391 https://www.netflix.com/browse/genre/100391 "Filipino Movies & TV"
100392 https://www.netflix.com/browse/genre/100392 "Polish Movies & TV"
100393 https://www.netflix.com/browse/genre/100393 "Russian Movies & TV"
100394 https://www.netflix.com/browse/genre/100394 "Scandinavian Movies & TV"
100395 https://www.netflix.com/browse/genre/100395 "Southeast Asian Movies & TV"
100396 https://www.netflix.com/browse/genre/100396 "Spanish Movies & TV Shows"
100398 https://www.netflix.com/browse/genre/100398 "British Movies & TV"
101167 https://www.netflix.com/browse/genre/101167 "Starring Catherine Deneuve"
107093 https://www.netflix.com/browse/genre/107093 "Holiday Movies"
107234 https://www.netflix.com/browse/genre/107234 "Oscar® Winners"
107456 https://www.netflix.com/browse/genre/107456 "Arabic Movies & TV Shows"
107457 https://www.netflix.com/browse/genre/107457 "Bengali Movies & TV"
107458 https://www.netflix.com/browse/genre/107458 "Cantonese Movies & TV Shows"
107461 https://www.netflix.com/browse/genre/107461 "Hindi Movies & TV"
107463 https://www.netflix.com/browse/genre/107463 "Malayalam Movies & TV Shows"
107464 https://www.netflix.com/browse/genre/107464 "Norwegian Movies & TV"
107465 https://www.netflix.com/browse/genre/107465 "Portuguese-Language Movies & TV"
107466 https://www.netflix.com/browse/genre/107466 "Punjabi Movies & TV Shows"
107469 https://www.netflix.com/browse/genre/107469 "Tamil Movies & TV Shows"
107519 https://www.netflix.com/browse/genre/107519 "Canadian Movies & TV"
107548 https://www.netflix.com/browse/genre/107548 "English Movies & TV"
107553 https://www.netflix.com/browse/genre/107553 "Italian Movies & TV Shows"
107556 https://www.netflix.com/browse/genre/107556 "Mandarin Movies & TV Shows"
107562 https://www.netflix.com/browse/genre/107562 "French Movies & TV"
107563 https://www.netflix.com/browse/genre/107563 "German Movies & TV"
107564 https://www.netflix.com/browse/genre/107564 "Romanian Movies & TV"
107565 https://www.netflix.com/browse/genre/107565 "Greek Movies & TV"
107566 https://www.netflix.com/browse/genre/107566 "Irish Movies & TV"
107569 https://www.netflix.com/browse/genre/107569 "Spanish Movies & TV"
107570 https://www.netflix.com/browse/genre/107570 "Thai Movies & TV"
107571 https://www.netflix.com/browse/genre/107571 "Vietnamese Movies & TV"
107572 https://www.netflix.com/browse/genre/107572 "Swedish Movies & TV"
107573 https://www.netflix.com/browse/genre/107573 "Danish Movies & TV"
107574 https://www.netflix.com/browse/genre/107574 "Finnish Movies & TV"
107575 https://www.netflix.com/browse/genre/107575 "New Zealand Movies & TV"
107576 https://www.netflix.com/browse/genre/107576 "Hong Kong Movies & TV"
107832 https://www.netflix.com/browse/genre/107832 "Calling All Trainers!"
108229 https://www.netflix.com/browse/genre/108229 "Colombian Movies & TV"
108246 https://www.netflix.com/browse/genre/108246 "The Agatha Christie Collection"
108662 https://www.netflix.com/browse/genre/108662 "Asian Movies & TV"
108663 https://www.netflix.com/browse/genre/108663 "Best Halloween Movies"
108820 https://www.netflix.com/browse/genre/108820 "True Crime"
109007 https://www.netflix.com/browse/genre/109007 "East Asian Movies & TV"
109012 https://www.netflix.com/browse/genre/109012 "European Movies & TV"
